	Bandpower Delta	Bandpower Theta	Bandpower Alpha	Bandpower Beta	Bandpower Gamma	Error Delta	Error Theta	Error Alpha	Error Beta	Error Gamma	std_dev	autocorr	type
3	0.48366013071895414	0.3460864020404909	0.07439290079175301	0.06737871300281628	0.028481853445985438	0.2396	5.2923	0.8115	0.0101	0.0715	17.588944209064813	44449.73762912252	abnormal
4	0.4766329090402304	0.21940908668586825	0.09662733438632351	0.1292390597417077	0.07809161014587011	0.823	3.2037	2.4605	2.5476	4.1064	7.9434058121607505	8272.308172867703	abnormal
5	0.4979261307525183	0.2357298044637567	0.09436105076041873	0.1103594706695635	0.06162354335374284	0.1727	3.1224	2.044	1.6876	2.4979	8.585805622566074	10840.214801758853	abnormal
6	0.48409991704304545	0.17208959351092268	0.11116231910775187	0.16125910222140288	0.07138906811687713	0.2939	1.8681	3.1416	3.7669	3.2636	19.40548027929569	49228.95406772199	abnormal
7	0.528255404725993	0.18024132730015083	0.09532428355957767	0.1309703368526898	0.06520864756158874	0.3929	1.7114	1.8705	2.4341	2.4358	20.71111637602473	62538.59037084661	abnormal
8	0.18634588345571004	0.19662552726136537	0.17437900328073738	0.40699890642087166	0.03565067958131541	-1.6946	5.3379	10.4344	17.1426	1.7049	43.26558488434631	159940.9345481726	abnormal
9	0.3579674615556051	0.2711388455538221	0.23873412079340314	0.12057053710719857	0.011589034989971027	-0.4381	5.1863	8.4007	1.7161	-1.1503	60.22022596902379	438068.9369555884	abnormal
10	0.19656200060467324	0.45527577419772813	0.1638232626441498	0.16645791042197555	0.017881052131473243	-2.4829	10.7268	6.1264	3.6299	-0.7884	124.6445002239042	1794590.998906321	abnormal
11	0.25952143936880134	0.28267522029274045	0.14648084651402865	0.2754488810234856	0.035873612800943845	-0.8848	7.2906	6.9151	10.0404	0.9697	78.68778769213128	580365.5768566526	abnormal
12	0.2647236354229542	0.3077088902302319	0.16310252651547813	0.2463999310166422	0.01806501681469345	-0.5784	6.3432	5.8316	7.2256	-0.6145	70.18332798745507	575204.9013895218	abnormal
13	0.5549836218998597	0.24532054281703325	0.1357627515208236	0.05925362657931681	0.004679457182966777	0.1613	2.493	2.699	-0.6014	-1.7124	81.08050488105472	1256018.863277942	abnormal
14	0.491842683987112	0.2636424078146576	0.1705620620876592	0.06919654273001587	0.0047563033805554135	0.3234	3.5215	4.9553	-0.3828	-1.6486	126.54776617486515	2156346.926563576	abnormal
15	0.20030065141139136	0.2311341239351929	0.21509938199432105	0.31438115917821946	0.03908468348087523	-1.5149	5.9586	12.2326	12.1098	1.6628	66.32749337089543	393865.0625362181	abnormal
16	0.2433442496628781	0.2377576574841071	0.2824889231361973	0.21945675207089194	0.01695241764592564	-1.1699	5.2025	13.7575	5.4457	-0.7668	128.8020746055002	1710047.863550556	abnormal
17	0.16936358161011847	0.3421802850833166	0.28576591045974703	0.18919895603292514	0.013491266813892792	-2.4517	8.355	12.6163	4.1677	-1.0815	159.9177315164651	2684995.380187317	abnormal
18	0.3253221118389658	0.24306971497982735	0.2666695588043903	0.1464144722571689	0.01852414211964774	-0.6879	5.48	11.473	2.269	-0.8033	145.90518632943156	2324476.868874256	abnormal
19	0.2362534533464041	0.3365564566437929	0.30674627929774534	0.1056501203101328	0.014793690401924964	-1.9852	7.8504	11.7666	0.9975	-1.0307	113.94977082222456	1601560.452641763	abnormal
20	0.4224547127772933	0.26106751913203524	0.21350382640705218	0.09498207885304658	0.007991862830572507	-0.0189	4.1735	7.0329	0.4117	-1.4225	84.80467572969754	953077.7207647759	abnormal
21	0.2783453679520664	0.21666154555231218	0.26720694423106467	0.227684744200338	0.010101398064218774	-0.8129	4.5283	12.5898	4.7627	-1.1271	109.3649424466413	1270545.335782526	abnormal
